"HolderAddress","Balance","PendingBalanceUpdate"
"0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44","3900.42555469374","No"
"0x87febfb3ac5791034fd5ef1a615e9d9627c2665d","120.869996505657","No"
"0x0000000071e801062eb0544403f66176bba42dc0","1E-18","No"
"0x568b32043509b129cc71df0800b1e9988b011311","5.4634415E-11","No"
"0x4c39ada0340c1eb3cee343f44819323dd29081a9","1.309620584365E-06","No"
"0x95ac533cb91128aca8804d5049da16a132df89ff","0.000794538315806094","No"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x90f080ae4218a4c088bbf00a74af9850d1773366","0.00354156657069506","No"
"0x855a5b16782304d3382dd764ef69a10efbeb9a77","1E-18","No"
"0x4b2acb5a7fcfee322ce3cd8344ea466954fde7db","0.00474004897211848","No"
"0xcf7b50faf216415543eac5e4b646cae7503ee845","287.381030052443","No"
"0x766445e101a5952a7313aef94ff79444302b2126","1E-18","No"
"0x87a726a806f48a435d8bf627678c85f26b46c1b6","0.000375750454332396","No"
"0xf2ac88d258672010ee9395789af2ed4dddc01988","5.0239665389755E-05","No"
"0xd793691a401b291c186a90a44cfe3dc0f6053fd3","0.0386159893222494","No"
"0x96cdf3f8b24ee2e68ab3d5b7fc2f23110341f039","2.0926543E-11","No"
"0xee7b0b83b1701f4257f975f2fcb7f87029bb4fcf","12","No"
"0x622995a110971b7993067d38a171028937a1f0ba","1","No"
"0xe647feff322e5fd1ef08f953f4fec8dc8a7eacc1","5.41595141997584","No"
"0x61102e60c6bdfd2f342064edc04838f274268d75","0.069244864523744","No"
"0xe0670c66979b06060056788d713e6113cfc90f50","31.6951786431453","No"
"0xe51a50e95c5a92cb4650eacf6ffcb3eb25c7a012","9.57E-16","No"
"0xbd6f9e3ab6503babffa34f61f30c287ec5f166a9","0.0359837035554737","No"
"0xc42ea1cf7a51f472a74b527c4a4c38e697040f11","0.1","No"
"0xe845b9154c2ee7fec63686d4f61a7bf8818d5379","7.87124702629E-07","No"
"0x749480f842144412d37075abafc42ddf44626c35","1","No"
"0x4697d43734c9bc4fc5dc21872ce8bf7ff1deb5f5","0.799058783375385","No"
"0x1ebdbef9bc82293f71f655ed8594ed1e4b42bbb0","0.000625413000831902","No"
"0xfd029682a8e00e1fcf6e8c5b7d841e11baeef8f6","4.550173480655E-06","No"
"0xc2115aa25ca33490911c2c3977cda9ff524bcedc","6.608445243E-09","No"
"0xc5efb4c04690768055355c9cf760c4113bba7dd1","0.000260263047934271","No"
"0x5e3fd4459113221f7be8795a9bb2e313570d2c87","1.00406362846989","No"
"0xefb752684ac27aae5dbc7574d5c5f95477c36def","2.6249222266158E-05","No"
"0x950263ac2da50d7fe138680f4658ae37833cc356","0.00069815787248612","No"
"0xbfd956037ba4e78bee325641de8b405f370cb893","0.0338941023585855","No"
"0xc1314d34c78a643cc41f8a9b3939a31d0db1b293","0.0740733435702553","No"
"0x9853f91882e43871e4e8d30c754e8bf6efc36262","0.0512956036499685","No"
"0x3e8a78adc9064b9c08a8b79fa22a91b43a50ac58","6.028276992947E-06","No"
"0xcce8d59affdd93be338fc77fa0a298c2cb65da59","0.242716350431233","No"
"0xa82b31e4ea20defefaded228c7a0c4b9e1e99a94","0.00318489837967272","No"
"0xceb7037c804c20536b122b8fe61df77568ea5d8d","0.00927932874451351","No"
"0x8785c1a013c91f9ce707860bd1b73a0e0f3b06f7","0.00036261245204961","No"
"0x9fed225115a1374c7f0faef307d471c80fff1893","1.68995163865687","No"
